countyname,subCounty
MERU,BUURI EAST
MERU,BUURI WEST.
MERU,IGEMBE CENTRAL
MERU,IGEMBE NORTH
MERU,IGEMBE SOUTH
MERU,IMENTI NORTH.
MERU,IMENTI SOUTH.
MERU,MERU CENTRAL
MERU,TIGANIA CENTRAL
MERU,TIGANIA EAST.
MERU,TIGANIA WEST
MERU,MERU NATIONAL PARK.
MERU,MT KENYA FOREST
EMBU,EMBU EAST
EMBU,EMBU NORTH
EMBU,EMBU WEST
EMBU,MBEERE SOUTH
EMBU,MBEERE NORTH
EMBU,MT KENYA FOREST
KIRINYAGA,KIRINYAGA CENTRAL
KIRINYAGA,KIRINYAGA EAST
KIRINYAGA,KIRINYAGA WEST
KIRINYAGA,MWEA EAST
KIRINYAGA,MWEA WEST
KIRINYAGA,MT KENYA FOREST
